ID,grade,sub_grade,open_acc,dti,inq_last_6mths,emp_dur,annual_inc,home_ownership,purpose,loan_amnt,int_rate,revol_bal,revol_util
195099,D,D2,3,3.17,3,01-Mar,140000,RENT,debt_consolidation,15000,0.1629,8592,0.728
239901,A,A4,11,17.99,0,04-Jun,71500,MORTGAGE,credit_card,10000,0.0692,8771,0.386
63636,D,D3,15,22.68,1,04-Jun,40000,MORTGAGE,other,10000,0.1885,13760,0.612
220887,C,C2,9,29.2,0,04-Jun,36000,MORTGAGE,debt_consolidation,14125,0.1447,10907,0.682
154863,A,A2,7,12.43,2,01-Mar,62000,RENT,debt_consolidation,10600,0.0662,10975,0.378
137836,E,E5,10,24.47,0,04-Jun,52378,RENT,debt_consolidation,20675,0.2247,21960,0.605
199990,B,B4,8,28.03,0,01-Mar,40248,OWN,credit_card,6400,0.1249,3680,0.657
23319,C,C3,7,12.86,0,01-Mar,69996,MORTGAGE,debt_consolidation,25000,0.1398,13862,0.82
231189,C,C3,9,7.71,0,10+,45000,RENT,debt_consolidation,10000,0.1333,10697,0.615
193633,D,D1,10,24.99,0,07-Sep,34000,RENT,debt_consolidation,2975,0.1561,2551,0.46
94538,B,B4,10,15.6,0,10+,85000,RENT,debt_consolidation,18000,0.1311,20107,0.562
233722,E,E3,20,26.22,4,10+,88000,MORTGAGE,other,1325,0.1952,13032,0.686
49031,E,E2,9,24.22,0,01-Mar,50000,MORTGAGE,debt_consolidation,22250,0.217,20862,0.979
125434,C,C3,11,12.11,1,07-Sep,65000,MORTGAGE,home_improvement,5100,0.158,10064,0.613
245391,F,F3,8,10.21,2,0-1,60000,MORTGAGE,debt_consolidation,29975,0.245,22510,0.579
6783,C,C3,8,20.4,2,07-Sep,62000,MORTGAGE,major_purchase,2500,0.1465,8374,0.974
26378,D,D2,12,12.35,1,01-Mar,65004,MORTGAGE,debt_consolidation,10000,0.1521,8102,0.466
117206,A,A3,5,0.32,1,07-Sep,95000,MORTGAGE,small_business,5000,0.0762,396,0.016
158338,E,E4,19,30.96,1,01-Mar,62000,MORTGAGE,debt_consolidation,18550,0.2099,30282,0.432
98726,B,B1,11,5.18,1,10+,110000,MORTGAGE,debt_consolidation,10000,0.1016,20077,0.367
119497,C,C1,10,18.41,0,07-Sep,65000,MORTGAGE,debt_consolidation,20000,0.1433,26868,0.759
121374,C,C2,7,23.5,1,04-Jun,50000,RENT,credit_card,10000,0.1531,11278,0.603
213390,D,D3,15,20.34,2,01-Mar,1.00E+05,MORTGAGE,home_improvement,10725,0.1825,5283,0.508
70876,C,C5,23,23.45,2,07-Sep,46100,RENT,credit_card,9300,0.1678,8891,0.357
13072,B,B3,16,16.64,1,01-Mar,60000,MORTGAGE,debt_consolidation,18000,0.1099,30426,0.618
47603,D,D1,14,25.06,0,10+,68000,RENT,debt_consolidation,25000,0.1776,20341,0.706
150123,A,A4,9,18.82,0,01-Mar,70000,MORTGAGE,debt_consolidation,12000,0.079,7117,0.699
184716,B,B2,11,25.17,1,07-Sep,84000,MORTGAGE,debt_consolidation,20000,0.1015,19331,0.844
23022,B,B5,2,0,0,missing,49000,MORTGAGE,other,7200,0.1186,0,0
160928,F,F3,13,28.71,1,01-Mar,65000,MORTGAGE,debt_consolidation,15250,0.245,4967,0.788
165015,E,E5,10,15.95,2,missing,24000,OWN,debt_consolidation,7150,0.2215,10970,0.623
223266,A,A3,8,11.22,0,10+,95000,MORTGAGE,debt_consolidation,26000,0.0762,42119,0.244
85058,B,B1,16,26.26,0,04-Jun,58000,MORTGAGE,credit_card,4800,0.1016,21464,0.556
65785,C,C3,8,11.65,0,01-Mar,110000,MORTGAGE,debt_consolidation,10000,0.1522,4910,0.381
47120,C,C1,11,2.8,3,01-Mar,160000,RENT,other,9000,0.143,10667,0.58
203510,D,D2,12,19.2,0,10+,85000,MORTGAGE,debt_consolidation,10500,0.1757,53694,0.551
92926,D,D4,9,27.26,0,04-Jun,42000,RENT,other,4000,0.1905,15102,0.543
148344,B,B3,4,2.87,1,04-Jun,72000,RENT,debt_consolidation,12000,0.1212,848,0.057
148782,A,A2,9,10.13,2,07-Sep,25000,MORTGAGE,home_improvement,12375,0.0662,3439,0.156
130442,C,C1,17,20.09,3,04-Jun,78000,RENT,credit_card,8300,0.1433,13216,0.462
51085,C,C2,7,16.94,0,0-1,90000,OWN,credit_card,14000,0.151,33512,0.846
240096,C,C4,8,19.17,0,missing,90000,RENT,debt_consolidation,35000,0.1399,51087,0.946
175051,C,C4,12,15.63,0,04-Jun,53000,RENT,debt_consolidation,10500,0.1449,9178,0.496
73443,C,C3,2,5.85,2,07-Sep,72912,MORTGAGE,debt_consolidation,24000,0.1522,15290,0.542
78161,B,B3,11,14.34,2,0-1,80000,RENT,debt_consolidation,15000,0.1212,9497,0.34
66872,D,D1,9,25.66,1,07-Sep,46200,RENT,debt_consolidation,16000,0.1756,8812,0.367
28790,C,C1,9,20.6,0,0-1,24000,RENT,major_purchase,5600,0.1273,6551,0.668
209760,D,D5,9,32.22,0,04-Jun,32000,RENT,debt_consolidation,4825,0.1947,2328,0.358
238636,C,C3,10,16.44,0,07-Sep,1.00E+05,MORTGAGE,debt_consolidation,26000,0.1333,5547,0.237
143534,B,B2,16,16.35,2,04-Jun,140000,MORTGAGE,major_purchase,3000,0.1074,41281,0.685
183822,C,C4,6,30.72,2,01-Mar,40000,RENT,debt_consolidation,10000,0.1449,9946,0.865
23109,C,C3,3,10.3,3,04-Jun,44400,RENT,moving,2350,0.1398,0,0
235440,C,C4,12,19.68,1,0-1,64350,MORTGAGE,home_improvement,12000,0.1399,3679,0.186
188665,B,B5,11,22.54,1,10+,42277,MORTGAGE,credit_card,11500,0.1249,6217,0.576
130981,C,C4,16,11.85,2,01-Mar,72000,MORTGAGE,debt_consolidation,16925,0.1629,6090,0.409
228727,C,C2,5,25.79,0,10+,35000,MORTGAGE,debt_consolidation,4000,0.1269,5443,0.486
239176,B,B5,14,6.32,1,07-Sep,85000,MORTGAGE,debt_consolidation,6000,0.1153,6065,0.163
4144,B,B4,2,2.08,0,04-Jun,38000,RENT,other,8000,0.1242,2007,0.334
93084,C,C3,5,14.95,0,10+,106000,MORTGAGE,credit_card,32000,0.158,27355,0.906
64946,B,B1,16,5.04,0,missing,80000,MORTGAGE,debt_consolidation,8400,0.0971,7847,0.1
208777,C,C2,12,24.36,1,07-Sep,60000,MORTGAGE,debt_consolidation,15000,0.1416,2882,0.443
187546,B,B1,13,18,0,10+,60000,MORTGAGE,debt_consolidation,12000,0.0917,6196,0.316
89918,C,C4,12,17.63,1,04-Jun,32000,RENT,debt_consolidation,11100,0.1629,15964,0.545
13749,A,A5,6,14.07,0,04-Jun,101000,MORTGAGE,credit_card,18000,0.0849,49542,0.506
27537,A,A2,7,8.46,0,10+,57000,MORTGAGE,other,5200,0.0676,714,0.05
181994,E,E5,6,9.48,1,10+,52000,RENT,debt_consolidation,6000,0.2215,9618,0.952
170307,C,C2,6,4.89,0,04-Jun,67500,MORTGAGE,debt_consolidation,12000,0.1335,8279,0.457
166801,E,E4,15,20.3,1,01-Mar,46000,MORTGAGE,small_business,9575,0.2099,1442,0.099
181486,A,A4,6,26.56,0,missing,15000,RENT,debt_consolidation,5000,0.0769,1552,0.345
11293,A,A5,8,16.05,2,01-Mar,45600,MORTGAGE,car,1450,0.0849,9164,0.487
189211,C,C3,9,14.04,0,10+,140000,MORTGAGE,debt_consolidation,8000,0.1398,29440,0.898
95206,B,B1,15,21.98,1,01-Mar,40000,RENT,debt_consolidation,15000,0.1016,21198,0.271
229607,C,C1,21,17.9,2,01-Mar,50012,MORTGAGE,debt_consolidation,7000,0.1229,9927,0.229
12077,A,A5,5,4.68,3,0-1,30000,RENT,car,6500,0.0849,3272,0.212
145404,A,A5,4,15.97,0,01-Mar,13000,RENT,debt_consolidation,5000,0.089,4941,0.402
160524,A,A4,11,12.97,0,0-1,110000,OWN,other,2400,0.0749,84,0.003
43167,B,B5,11,11.82,0,01-Mar,1.00E+05,RENT,credit_card,13000,0.1367,22952,0.873
81501,C,C5,14,10.12,2,missing,42713.76,MORTGAGE,home_improvement,7000,0.1727,6395,0.488
242451,C,C3,11,22.96,1,10+,80000,MORTGAGE,credit_card,20475,0.1333,47327,0.787
21999,C,C4,10,14.6,0,10+,118812,MORTGAGE,debt_consolidation,15000,0.1335,28563,0.949
58120,B,B1,8,20.02,1,07-Sep,35000,MORTGAGE,credit_card,10000,0.0999,20589,0.478
222286,A,A4,15,20.97,0,0-1,70796,MORTGAGE,debt_consolidation,24000,0.079,7293,0.456
118670,A,A3,6,1.99,1,07-Sep,45000,RENT,debt_consolidation,5400,0.0762,3340,0.226
111575,A,A1,12,8.03,1,04-Jun,55000,MORTGAGE,debt_consolidation,18000,0.0603,12899,0.343
193256,B,B4,10,19.04,0,10+,44000,RENT,credit_card,6000,0.1167,12315,0.696
155089,B,B5,13,16.35,0,10+,63996,MORTGAGE,debt_consolidation,20000,0.1269,18379,0.489
159523,C,C2,7,13.38,0,07-Sep,80000,RENT,car,7800,0.1299,12659,0.917
42184,B,B5,12,12.69,1,10+,130000,MORTGAGE,other,6500,0.1367,9023,0.37
77572,B,B2,23,18.79,1,10+,57600,MORTGAGE,debt_consolidation,24000,0.1114,12549,0.494
117632,F,F2,14,11.21,2,04-Jun,115000,MORTGAGE,debt_consolidation,35000,0.2328,30406,0.528
93758,D,D3,7,18.51,2,10+,65000,MORTGAGE,debt_consolidation,20000,0.1875,15856,0.797
49769,E,E1,21,19.37,4,10+,63000,MORTGAGE,credit_card,22400,0.21,18850,0.54
62088,E,E3,8,26.02,0,10+,38000,RENT,debt_consolidation,16750,0.216,17055,0.761
4890,A,A4,10,10.43,1,10+,82000,MORTGAGE,other,4000,0.079,9468,0.701
9117,G,G1,9,8.6,0,07-Sep,1.00E+05,MORTGAGE,credit_card,30000,0.2211,26479,0.835
106453,C,C3,8,5.22,1,01-Mar,89400,MORTGAGE,wedding,8000,0.158,3899,0.213
139534,A,A5,17,27.17,0,04-Jun,28000,RENT,debt_consolidation,5000,0.089,7362,0.386
136854,B,B5,12,13.83,0,10+,120000,OWN,debt_consolidation,15000,0.1409,13078,0.703
58449,D,D1,11,10.31,3,missing,48300,MORTGAGE,home_improvement,6075,0.1776,8242,0.585
193403,D,D3,10,14.56,1,04-Jun,89000,MORTGAGE,debt_consolidation,26925,0.1699,9727,0.628
50073,A,A1,10,10.2,0,04-Jun,160000,MORTGAGE,major_purchase,10000,0.0603,7102,0.182
34840,F,F2,6,16.93,0,01-Mar,101004,RENT,other,20000,0.1758,18606,0.675
107926,B,B1,11,18.89,1,04-Jun,96000,MORTGAGE,debt_consolidation,30000,0.1016,48729,0.5
168826,B,B5,16,32.91,0,10+,55000,MORTGAGE,debt_consolidation,10000,0.1249,15974,0.498
131986,D,D3,8,28.59,1,01-Mar,40000,MORTGAGE,debt_consolidation,14700,0.1875,6593,0.749
193822,C,C1,4,0.19,0,10+,154000,OWN,other,10000,0.1299,819,0.144
14271,B,B3,5,24.48,0,04-Jun,20000,RENT,debt_consolidation,4000,0.1099,1005,0.057
67835,C,C1,12,13.1,3,0-1,160000,RENT,debt_consolidation,21000,0.1368,40075,0.629
71090,B,B3,14,12.89,1,01-Mar,50000,MORTGAGE,home_improvement,8000,0.1155,6444,0.319
139033,A,A4,8,10.27,1,10+,50000,MORTGAGE,home_improvement,12000,0.079,383,0.024
156977,A,A1,16,7.36,0,01-Mar,66000,RENT,vacation,5000,0.0603,3337,0.055
11427,A,A5,14,25.82,2,10+,29000,MORTGAGE,small_business,7200,0.0849,10651,0.371
27416,B,B3,8,23.12,0,07-Sep,49200,RENT,debt_consolidation,25000,0.1062,1321,0.083
155996,C,C5,8,16.38,1,04-Jun,119988,MORTGAGE,debt_consolidation,7000,0.1596,35716,0.999
200608,B,B4,16,31.84,0,10+,47000,RENT,debt_consolidation,8225,0.1249,937,0.07
121402,A,A5,8,8.44,2,10+,108569,MORTGAGE,debt_consolidation,20000,0.089,19788,0.454
174226,C,C1,13,18.09,3,07-Sep,51000,MORTGAGE,debt_consolidation,10750,0.1299,10836,0.612
127484,B,B2,11,26.34,1,04-Jun,70000,RENT,debt_consolidation,14000,0.1114,14117,0.759
208502,E,E2,5,5.09,1,10+,67000,RENT,debt_consolidation,20000,0.2049,6535,0.3
82407,B,B2,11,11.24,1,04-Jun,90939,MORTGAGE,debt_consolidation,14000,0.1114,34487,0.61
88119,F,F5,11,18.86,1,07-Sep,2.00E+05,MORTGAGE,debt_consolidation,35000,0.2383,9823,0.982
240646,B,B2,6,11.56,0,07-Sep,77000,MORTGAGE,debt_consolidation,9000,0.0917,7908,0.557
136290,B,B3,7,21.62,0,04-Jun,68000,RENT,other,9000,0.1212,12665,0.627
141691,D,D1,5,12,0,04-Jun,15000,RENT,vacation,3000,0.1727,4615,0.71
230458,C,C2,14,12.02,0,01-Mar,60000,MORTGAGE,debt_consolidation,27000,0.1269,18884,0.5
12191,F,F1,12,14.51,0,01-Mar,34737,RENT,other,3500,0.2148,3790,0.665
51078,B,B1,7,27.55,0,04-Jun,52000,RENT,credit_card,14000,0.0999,7235,0.613
63281,F,F2,11,30.13,2,04-Jun,65000,RENT,debt_consolidation,12000,0.2408,4127,0.516
81961,B,B4,6,10.24,0,01-Mar,30000,MORTGAGE,debt_consolidation,6625,0.1311,9001,0.514
111452,C,C4,10,32.29,0,10+,85000,MORTGAGE,debt_consolidation,32350,0.1629,39056,0.91
193102,B,B5,7,12.62,0,10+,70000,MORTGAGE,debt_consolidation,10000,0.1249,6089,0.41
177704,B,B5,5,23.3,1,07-Sep,105000,RENT,debt_consolidation,12000,0.1249,4539,0.42
23613,B,B1,5,24.59,1,01-Mar,22500,RENT,debt_consolidation,7000,0.1038,9314,0.665
205454,B,B3,9,12.31,3,10+,70000,MORTGAGE,credit_card,14400,0.1199,3355,0.39
53063,D,D3,13,10.85,2,10+,47900,MORTGAGE,credit_card,6000,0.192,7877,0.625
183772,B,B2,14,3.07,0,01-Mar,45000,MORTGAGE,credit_card,10000,0.1015,7946,0.397
232977,C,C3,9,10.13,0,04-Jun,72000,OWN,debt_consolidation,10000,0.1333,5315,0.275
36645,D,D4,9,18.74,1,10+,82000,RENT,credit_card,12000,0.1355,16888,0.518
56159,B,B3,11,10.47,0,10+,91500,MORTGAGE,debt_consolidation,20000,0.1199,24441,0.846
41193,A,A3,8,13.21,3,01-Mar,165000,MORTGAGE,home_improvement,28000,0.0762,4090,0.073
139115,C,C2,5,21.02,0,04-Jun,60000,MORTGAGE,debt_consolidation,29700,0.1465,25346,0.837
45911,D,D1,14,19.51,0,10+,1.00E+05,MORTGAGE,medical,10000,0.1776,23850,0.772
30312,B,B5,10,12.74,0,04-Jun,125000,RENT,debt_consolidation,25000,0.1136,26510,0.658
133408,C,C4,11,20.36,1,01-Mar,28000,RENT,debt_consolidation,5000,0.1629,7522,0.678
86051,C,C2,9,23.49,1,04-Jun,38000,RENT,debt_consolidation,5000,0.1531,4889,0.556
110819,A,A1,21,31.96,0,10+,90000,MORTGAGE,debt_consolidation,22000,0.0603,40203,0.372
152774,E,E4,11,14.23,1,04-Jun,87000,RENT,small_business,30000,0.2148,10966,0.423
199955,C,C5,12,16.63,0,10+,75000,MORTGAGE,credit_card,21000,0.1561,48229,0.8
159412,B,B5,10,19.86,1,10+,62000,OWN,debt_consolidation,19750,0.1199,7543,0.187
28956,D,D5,9,12.08,0,0-1,136000,MORTGAGE,debt_consolidation,15000,0.1607,35040,0.91
2302,D,D2,7,16.13,1,01-Mar,50000,RENT,debt_consolidation,15000,0.1677,6613,0.797
111302,C,C4,12,15.49,1,04-Jun,57400,MORTGAGE,debt_consolidation,22800,0.1629,17396,0.552
47583,D,D1,9,22.13,1,01-Mar,30000,MORTGAGE,debt_consolidation,8325,0.1776,5480,0.431
14697,A,A2,7,22.66,3,07-Sep,56400,OWN,credit_card,12100,0.0579,35486,0.425
139110,A,A2,9,12.45,1,missing,67000,MORTGAGE,debt_consolidation,5000,0.0662,4597,0.348
208521,C,C3,6,29.64,0,missing,32029.08,MORTGAGE,debt_consolidation,7600,0.1464,6515,0.598
186864,C,C2,17,12.96,0,10+,50000,MORTGAGE,credit_card,13000,0.1335,11651,0.673
160993,C,C3,8,9.64,0,04-Jun,165000,MORTGAGE,home_improvement,35000,0.1366,18506,0.898
27869,A,A3,10,11.74,0,01-Mar,34650.24,RENT,debt_consolidation,12400,0.0714,12189,0.509
31598,B,B2,6,14.06,0,04-Jun,19200,RENT,educational,8500,0.1148,3317,0.626
139668,A,A3,8,10.08,1,07-Sep,70000,RENT,debt_consolidation,30000,0.0762,19056,0.426
25794,E,E1,13,19.15,1,01-Mar,46000,MORTGAGE,major_purchase,3475,0.1645,5438,0.324
165904,E,E3,13,12.67,0,10+,71486,OWN,home_improvement,35000,0.202,2426,0.041
185700,C,C4,9,18.85,1,07-Sep,75000,RENT,debt_consolidation,4200,0.1449,12913,0.598
33856,A,A4,10,12.29,0,01-Mar,94185,MORTGAGE,home_improvement,10000,0.0932,0,0
101962,B,B2,21,17.11,3,04-Jun,65000,RENT,debt_consolidation,17500,0.1114,16975,0.297
173887,D,D5,19,19.54,3,10+,32000,MORTGAGE,debt_consolidation,8000,0.1824,8483,0.279
136744,B,B3,14,23.06,0,01-Mar,37000,RENT,credit_card,10000,0.1212,13638,0.788
21299,C,C4,17,24.27,0,04-Jun,120000,MORTGAGE,credit_card,14400,0.1335,702,0.351
67801,D,D5,13,31.57,2,01-Mar,36000,OWN,moving,5500,0.2031,3010,0.334
2034,C,C2,9,22.03,1,04-Jun,53000,RENT,debt_consolidation,15000,0.1427,5286,0.448
32411,D,D3,11,23.49,2,04-Jun,56000,RENT,other,2800,0.1531,21076,0.985
17004,D,D5,4,5.09,0,01-Mar,26400,RENT,major_purchase,10000,0.1602,4834,0.483
441,B,B3,12,10.22,1,07-Sep,85000,RENT,major_purchase,8000,0.1171,15938,0.357
18800,B,B3,4,5.08,0,01-Mar,14400,OWN,debt_consolidation,5550,0.1037,2892,0.705
190205,D,D2,16,25.09,2,01-Mar,45000,MORTGAGE,debt_consolidation,18275,0.1629,14665,0.424
135601,B,B1,13,19.38,2,01-Mar,125250,MORTGAGE,debt_consolidation,16000,0.1016,74022,0.386
80663,D,D1,10,18.36,0,10+,70000,MORTGAGE,debt_consolidation,30000,0.1777,27182,0.663
99408,C,C2,8,16.63,0,07-Sep,73500,MORTGAGE,credit_card,14400,0.1531,7104,0.798
141285,C,C4,5,15.04,2,10+,45000,RENT,debt_consolidation,8000,0.1581,5807,0.66
138105,C,C1,10,22.29,2,01-Mar,56000,OWN,other,6000,0.1433,14821,0.368
221074,C,C1,7,30.69,0,0-1,32500,OWN,credit_card,7100,0.1398,14742,0.964
102015,B,B1,13,12.16,0,10+,91000,RENT,debt_consolidation,13000,0.1016,10136,0.663
110189,D,D2,2,5.19,0,10+,46000,MORTGAGE,other,7000,0.1849,9808,0.892
4372,C,C3,9,14.94,1,01-Mar,42000,MORTGAGE,debt_consolidation,10000,0.1465,2296,0.384
233333,C,C2,6,16.94,0,07-Sep,44000,OWN,debt_consolidation,9000,0.1269,8915,0.544
212187,B,B4,11,11.19,2,10+,77000,MORTGAGE,medical,5750,0.1249,1866,0.031
236870,B,B5,12,12.67,2,0-1,95000,RENT,debt_consolidation,18000,0.1153,16132,0.633
135393,B,B2,14,15.65,3,04-Jun,53000,MORTGAGE,credit_card,1750,0.1114,31246,0.84
146119,C,C3,10,1.89,3,10+,55000,OWN,home_improvement,19600,0.1531,3016,0.117
194681,C,C2,11,24.07,0,10+,75500,MORTGAGE,debt_consolidation,3000,0.1335,14798,0.698
119343,G,G1,7,22.59,1,04-Jun,117000,MORTGAGE,debt_consolidation,35000,0.247,18515,0.785
212755,B,B5,12,19.2,0,01-Mar,86000,RENT,debt_consolidation,20000,0.1299,16395,0.976
91396,B,B1,19,23.1,0,10+,150000,MORTGAGE,car,19200,0.1016,81042,0.571
61972,C,C4,22,16.84,0,10+,141000,MORTGAGE,debt_consolidation,18000,0.1588,20545,0.845
64845,B,B1,14,6.78,0,01-Mar,115000,RENT,debt_consolidation,18600,0.0971,6616,0.284
211318,A,A4,16,17.55,3,0-1,45000,RENT,credit_card,5200,0.079,5151,0.221
23789,B,B3,4,6.1,0,04-Jun,41717,OWN,other,20000,0.1112,336,0.015
95062,A,A1,12,6.9,1,01-Mar,210000,MORTGAGE,debt_consolidation,20000,0.0603,15808,0.396
88477,E,E3,6,13.57,0,07-Sep,13000,RENT,debt_consolidation,3625,0.2149,3676,0.656
158462,C,C2,6,13.07,0,07-Sep,47000,RENT,debt_consolidation,20000,0.1299,10886,0.938
248609,E,E2,9,5.72,0,07-Sep,127000,MORTGAGE,home_improvement,25000,0.1924,8661,0.433
23674,A,A5,16,16.67,1,01-Mar,25200,MORTGAGE,credit_card,4900,0.0788,12016,0.284
21730,A,A4,4,11.48,0,10+,76404,MORTGAGE,debt_consolidation,12000,0.0654,63470,0
37222,C,C1,9,14.26,0,0-1,60000,RENT,debt_consolidation,11200,0.1078,7973,0.896
167495,C,C4,12,14.96,0,0-1,130000,MORTGAGE,debt_consolidation,24000,0.1449,63630,0.842
116622,D,D5,8,6.8,0,0-1,125000,RENT,debt_consolidation,15000,0.1972,12097,0.864
40517,D,D3,16,12.62,3,01-Mar,80000,MORTGAGE,credit_card,35000,0.1825,33834,0.616
103006,B,B3,17,29.44,0,04-Jun,53429,RENT,credit_card,15000,0.1212,7967,0.374
39521,A,A4,5,7.11,0,0-1,50000,RENT,credit_card,10000,0.079,10955,0.605
177814,C,C1,5,5.79,0,07-Sep,95000,MORTGAGE,debt_consolidation,12000,0.1299,17852,0.626
74191,D,D4,10,26.13,1,04-Jun,45000,RENT,other,5200,0.1952,3278,0.863
63774,B,B1,16,24.24,0,10+,60000,OWN,credit_card,12000,0.0971,24996,0.654
131238,E,E2,11,24.63,2,01-Mar,71500,RENT,debt_consolidation,25000,0.21,5729,0.855
25387,D,D4,7,10.7,1,01-Mar,115000,MORTGAGE,home_improvement,9600,0.1595,2260,0.269
219316,C,C4,14,8.04,3,04-Jun,81500,RENT,debt_consolidation,7000,0.1561,6832,0.492
151984,A,A2,16,14.02,2,0-1,80000,RENT,credit_card,12000,0.0662,19303,0.291
184064,B,B2,20,9.21,1,07-Sep,80000,RENT,debt_consolidation,25000,0.1015,58073,0.219
181758,B,B1,6,4.78,2,10+,96000,MORTGAGE,credit_card,10000,0.0917,1687,0.241
74486,D,D1,5,25.79,1,10+,44720,MORTGAGE,home_improvement,11500,0.1756,3712,0.863
103960,C,C1,13,20.72,0,10+,71000,RENT,debt_consolidation,30000,0.1433,20724,0.427
165360,C,C5,14,24.43,0,10+,78000,MORTGAGE,debt_consolidation,18075,0.1499,18090,0.724
207004,F,F3,13,21.14,2,04-Jun,44500,OWN,home_improvement,19575,0.245,8228,0.674
70375,C,C2,16,27.55,1,04-Jun,45000,MORTGAGE,debt_consolidation,6000,0.1433,16720,0.47
240007,E,E5,13,24.14,1,04-Jun,42300,RENT,debt_consolidation,14375,0.2167,4709,0.389
76288,D,D1,11,11,0,07-Sep,54000,MORTGAGE,debt_consolidation,10000,0.1777,5021,0.378
158724,B,B5,9,27.93,1,04-Jun,65000,MORTGAGE,home_improvement,5000,0.1199,27964,0.916
96043,B,B2,11,7.58,0,10+,50000,MORTGAGE,debt_consolidation,15075,0.1114,15076,0.476
120065,A,A3,22,21.13,0,07-Sep,35000,RENT,other,7200,0.0762,9756,0.128
55437,D,D4,16,13.3,3,10+,86000,MORTGAGE,debt_consolidation,10000,0.1952,12588,0.364
56366,D,D4,16,29.72,4,10+,47000,RENT,debt_consolidation,8200,0.1952,21604,0.5
61569,B,B4,22,10.47,2,04-Jun,70000,MORTGAGE,home_improvement,11500,0.1235,6576,0.7
246589,D,D5,10,12.81,2,07-Sep,65000,MORTGAGE,debt_consolidation,12000,0.1786,2618,0.249
210961,E,E2,11,21.08,2,07-Sep,59675,MORTGAGE,medical,7200,0.2049,10908,0.69
128619,C,C3,5,27.13,3,04-Jun,36000,RENT,other,13250,0.158,4499,0.726
134164,A,A3,17,5.3,0,07-Sep,1.00E+05,MORTGAGE,credit_card,20000,0.0762,7370,0.094
152204,B,B1,11,15.5,0,01-Mar,1.00E+05,RENT,debt_consolidation,12500,0.0976,9299,0.655
226068,C,C3,13,26.62,1,missing,32188,MORTGAGE,debt_consolidation,5200,0.1333,2824,0.131
53741,D,D1,12,30.17,1,01-Mar,70000,MORTGAGE,debt_consolidation,20000,0.1776,18415,0.801
19421,A,A2,11,5.6,2,0-1,78000,MORTGAGE,debt_consolidation,3225,0.0579,13104,0.24
236895,C,C4,13,20.12,0,07-Sep,55000,MORTGAGE,other,6000,0.1399,6115,0.288
242047,B,B3,10,24.19,0,07-Sep,97000,MORTGAGE,debt_consolidation,22000,0.0999,17160,0.678
210309,B,B3,15,19.31,0,10+,94500,MORTGAGE,debt_consolidation,20000,0.1199,15647,0.59
47597,D,D1,11,11.56,0,07-Sep,55000,RENT,debt_consolidation,4450,0.1776,18663,0.723
30300,A,A3,10,22.38,3,04-Jun,51000,MORTGAGE,vacation,3600,0.0714,24809,0.625
95279,D,D1,24,27,1,07-Sep,72000,MORTGAGE,debt_consolidation,25000,0.1777,83048,0.552
178646,B,B1,11,21.22,3,01-Mar,82000,RENT,debt_consolidation,15000,0.0917,30194,0.68
